symbol,name,sector
GPE.L,Great Portland Estates,Real Estate Investment Trusts
UKW.L,Greencoat UK Wind,"Gas, Water & Multiutilities"
GNC.L,Greencore,"Food, Beverage and Tobacco"
GRG.L,Greggs,Food & Drug Retailers
HMSO.L,Hammerson,Real Estate Investment Trusts
HBR.L,Harbour Energy,Oil & Gas Producers
HVPE.L,HarbourVest Global Private Equity,Equity Investments
HWG.L,Harworth Group,Real Estate
HAS.L,Hays,Support Services
HTWS.L,Helios Towers,Telecomms
HSL.L,Henderson Smaller Companies Investment Trust,Investment Trusts
HRI.L,Herald Investment Trust,Investment Trusts
HGT.L,Hg Capital Trust,Investment Trusts
HICL.L,HICL Infrastructure Company,Investment Trusts
HILS.L,Hill & Smith,Industrial Engineering
HFG.L,Hilton Food Group,Food Producers
HOC.L,Hochschild Mining,Basic Resources
BOWL.L,Hollywood Bowl Group,Travel and leisure
HTG.L,Hunting,"Oil, Gas and Coal"
IBST.L,Ibstock,Construction & Materials
ICGT.L,ICG Enterprise Trust,Investment Trusts
IGG.L,IG Group Holdings,Financial Services
IEM.L,Impax Environmental Markets,Investment Trusts
INCH.L,Inchcape,Retailers
IHP.L,IntegraFin Holdings,Financial Services
IPF.L,International Personal Finance,Financial Services
INPP.L,International Public Partnerships,Financial Services
IWG.L,International Workplace Group,Support Services
IAD.L,Invesco Asia Dragon Trust,Investment Trusts
INVP.L,Investec,Financial Services
IPO.L,IP Group,Financial Services
ITH.L,Ithaca Energy,Oil & Gas Producers
ITV.L,ITV,Media
JMAT.L,Johnson Matthey,Chemicals
JSG.L,Johnson Service Group,Industrial Support Services
JAM.L,JPMorgan American Investment Trust,Investment Trusts
JMG.L,JPMorgan Emerging Markets Investment Trust,Investment Trusts
JEDT.L,JPMorgan European Discovery,Investment Trusts
JEGI.L,JPMorgan European Growth & Income,Investment Trusts
JGGI.L,JPMorgan Global Growth & Income,Investment Trusts
JII.L,JPMorgan Indian Investment Trust,Investment Trusts
JFJ.L,JPMorgan Japanese Investment Trust,Investment Trusts
JTC.L,JTC,Financial Services
JUP.L,Jupiter Fund Management,Financial Services
JUST.L,Just Group,Life Insurance
KNOS.L,Kainos,Software & Computer Services
KLR.L,Keller Group,Construction & Materials
KIE.L,Kier Group,Construction & Materials
LRE.L,Lancashire Holdings,Nonlife Insurance
LWDB.L,Law Debenture,Investment Trusts
BGEO.L,Lion Finance Group,Banking Services
EMG.L,Man Group,Investment Trusts
MSLH.L,Marshalls,Construction & Materials
MEGP.L,ME Group International,Leisure Goods
MRC.L,Mercantile Investment Trust,Collective Investments
MRCH.L,Merchants Trust,Investment Trusts
MTRO.L,Metro Bank,Banks
MAB.L,Mitchells & Butlers,Travel & Leisure
MTO.L,Mitie,Support Services
GROW.L,Molten Ventures,Financial Services
MNKS.L,Monks Investment Trust,Investment Trusts
MONY.L,MONY Group,Media
MOON.L,Moonpig,Retailers
MGAM.L,Morgan Advanced Materials,Electronic & Electrical Equipment
MGNS.L,Morgan Sindall Group,Construction & Materials
MUT.L,Murray Income Trust,Investment Trusts
MYI.L,Murray International Trust,Investment Trusts
NBPE.L,NB Private Equity Partners,Collective Investments
NCC.L,NCC Group,Software and Computer Services
N91.L,Ninety One,Financial Services
NAS.L,North Atlantic Smaller Companies Investment Trust,Investment Trusts
OCI.L,Oakley Capital Investments,Investment Trusts
OCDO.L,Ocado Group,Food & drug retailers
OSB.L,OSB Group,Banks
OXB.L,Oxford Biomedica,Pharmaceuticals and Biotechnology
OXIG.L,Oxford Instruments,Electronic & Electrical Equipment
ONT.L,Oxford Nanopore Technologies,Health Care
PHI.L,Pacific Horizon Investment Trust,Investment Trusts
PAGE.L,PageGroup,Support Services
PINT.L,Pantheon Infrastructure,Investment Trusts
PIN.L,Pantheon International,Equity Investments
PAG.L,Paragon Banking Group,Financial Services
PEY.L,Partners Group Private Equity,Investment Trusts
PPET.L,Patria Private Equity Trust,Financial Services
PAY.L,PayPoint,Industrial Support Services
PNN.L,Pennon Group,"Gas, Water & Multiutilities"
PNL.L,Personal Assets Trust,Investment Trusts
PHLL.L,Petershill Partners,Investment Trusts
PETS.L,Pets at Home,Retailers
PINE.L,Pinewood Technologies,Software & Computer Services
PTEC.L,Playtech,Software & Computer Services
PLUS.L,Plus500,Financial Services
POLN.L,Pollen Street Group,Financial Services
PPH.L,PPHE Hotel Group,Travel and Leisure
PFD.L,Premier Foods,Food & Drug Retailers
PHP.L,Primary Health Properties,Real Estate Investment Trusts
PRSR.L,PRS REIT,Real Estate Investment Trusts
QQ.L,Qinetiq,Aerospace & Defence
QLT.L,Quilter,Financial Services
RNK.L,Rank Group,Travel and Leisure
RPI.L,Raspberry Pi Holdings,Technology
RAT.L,Rathbones,Financial Services
RSW.L,Renishaw,Electronic & Electrical Equipment
RHIM.L,RHI Magnesita,Support Services
RCP.L,RIT Capital Partners,Investment Trusts
ROR.L,Rotork,Industrial Engineering
RS1.L,RS Group,Industrials
RICA.L,Ruffer Investment Company,Investment Trusts
SAFE.L,Safestore,Real Estate Investment Trusts
SVS.L,Savills,Real Estate Investment & Services
ATR.L,Schroder Asian Total Return Investment Company,Investment Trusts
SDP.L,Schroder AsiaPacific Fund,Investment Trusts
SOI.L,Schroder Oriental Income Fund,Financial Services
SAIN.L,Scottish American Investment Company,Investment Trusts
SEIT.L,SDCL Energy Efficiency Income Trust,Energy
SNR.L,Senior,Aerospace & Defence
SEQI.L,Sequoia Economic Infrastructure Income Fund,Financial Services
SRP.L,Serco,Support Services
SHC.L,Shaftesbury Capital,Real Estate Investment Trusts
SRE.L,Sirius Real Estate,Real Estate
SSON.L,Smithson Investment Trust,Investment Trusts
SCT.L,Softcat,Software & Computer Services
SXS.L,Spectris,Electronic & Electrical Equipment
SPI.L,Spire Healthcare,Health Care Equipment & Services
SSPG.L,SSP Group,Retailers
SUPR.L,Supermarket Income REIT,Real Estate Investment Trusts
SYNC.L,Syncona,Pharmaceuticals & Biotechnology
THRL.L,Target Healthcare REIT,Real Estate Investment Trusts
TATE.L,Tate & Lyle,Food Producers
TW.L,Taylor Wimpey,Household goods & home construction
TBCG.L,TBC Bank,Banks
TEP.L,Telecom Plus,Telecomms
TMPL.L,Temple Bar Investment Trust,Collective Investments
TEM.L,Templeton Emerging Markets Investment Trust,Investment Trusts
TRIG.L,The Renewables Infrastructure Group,Investment Trusts
THG.L,THG,Personal Products
TCAP.L,TP ICAP,Support Services
TRN.L,Trainline,Industrial Transportation
TPK.L,Travis Perkins,Support Services
BBOX.L,Tritax Big Box REIT,Real Estate Investment Trusts
TRY.L,TR Property Investment Trust,Investment Trusts
TRST.L,Trustpilot,Technology
TFIF.L,Twentyfour Income Fund,Investment Trusts
UTG.L,Unite Group,Real estate investment trusts
VSVS.L,Vesuvius,General Industrials
VCT.L,Victrex,Chemicals
VEIL.L,Vietnam Enterprise Investments,General Financial
VOF.L,VinaCapital Vietnam Opportunity Fund,General Financial
VTY.L,Vistry Group,Home Construction
FAN.L,Volution Group,Construction & Materials
WPS.L,W. A. G. Payment Solutions,Financial Services
WOSG.L,Watches of Switzerland,Personal Goods
JDW.L,Wetherspoon (J D),Travel & Leisure
SMWH.L,W H Smith,Retailers
WIX.L,Wickes,Retailers
WIZZ.L,Wizz Air,Travel & Leisure
WKP.L,Workspace Group,Real Estate Investment Trusts
WWH.L,Worldwide Healthcare Trust,Investment Trusts
XPS.L,XPS Pensions,Financial Services
ZIG.L,Zigup,Support Services
